"Local Date","Local Time","Air temp 1","rh","Rainfall (mm)","sp5 Light","Windspeed Average mph","Windspeed Gust Max mph","Soil temp2","Bat Volt","Serial No.","Label","Name"
"24-02-23","17:00:01","5.3","86.9","0","29.28","41.55","20","5.6","013.2","2428","Weather Station","allpress"
"24-02-23","18:00:01","4.5","91.4","0","0","36.48","17.5","5.6","013.1","2428","Weather Station","allpress"
"24-02-23","19:00:01","4.1","93.1","0","0","29.68","15","5.6","013.1","2428","Weather Station","allpress"
"24-02-23","20:00:01","3.4","94.5","0","0","33.43","15","5.5","013.0","2428","Weather Station","allpress"
"24-02-23","21:00:01","2.7","95.8","0","0","21.85","10.75","5.5","013.0","2428","Weather Station","allpress"
"24-02-23","22:00:01","2.7","98.7","0","0","23.23","12.5","5.5","013.0","2428","Weather Station","allpress"
"24-02-23","23:00:01","2.7","99.6","1","0","25.28","15.75","5.4","013.0","2428","Weather Station","allpress"
"25-02-23","00:00:01","2.1","100","0","0","22.8","12.5","5.4","012.9","2428","Weather Station","allpress"
"25-02-23","01:00:01","1.4","100","0","0","26.28","27.5","5.4","012.9","2428","Weather Station","allpress"
"25-02-23","02:00:01","2.1","100","0","0","26.98","27.5","5.3","012.9","2428","Weather Station","allpress"
"25-02-23","03:00:01","1.7","100","0","0","26.65","25","5.3","012.8","2428","Weather Station","allpress"
"25-02-23","04:00:01","1.9","100","0","0","21.75","10.75","5.2","012.8","2428","Weather Station","allpress"
"25-02-23","05:00:01","2.2","100","0","0","23.33","11.5","5.2","012.8","2428","Weather Station","allpress"
"25-02-23","06:00:01","2","100","0","0","24.53","17.5","5.2","012.8","2428","Weather Station","allpress"
"25-02-23","07:00:01","2.1","100","0","0","24.15","11.5","5.2","012.8","2428","Weather Station","allpress"
"25-02-23","08:00:01","2.3","100","0","78.08","24.48","14","5.2","012.9","2428","Weather Station","allpress"
"25-02-23","09:00:01","2.7","100","1","185.44","24.9","13.25","5.2","013.7","2428","Weather Station","allpress"
"25-02-23","10:00:01","3.8","96","0","429.44","30.6","19","5.2","013.7","2428","Weather Station","allpress"
"25-02-23","11:00:01","5.2","83.7","0","292.8","32.83","16.5","5.2","013.7","2428","Weather Station","allpress"
"25-02-23","12:00:01","4.9","92.9","0","402.6","35.43","20.75","5.2","013.7","2428","Weather Station","allpress"
"25-02-23","13:00:01","6.3","76","0","336.72","40.28","19","5.2","013.8","2428","Weather Station","allpress"
"25-02-23","14:00:01","7.1","74.7","0","514.84","49.45","21.5","5.2","013.8","2428","Weather Station","allpress"
"25-02-23","15:00:01","6.8","70.8","0","336.72","52.4","23.25","5.3","013.8","2428","Weather Station","allpress"
"25-02-23","16:00:01","6.6","74.3","0","239.12","51.75","22.5","5.3","013.8","2428","Weather Station","allpress"
"25-02-23","17:00:01","3.9","86.4","0","46.36","40.6","19","5.3","013.2","2428","Weather Station","allpress"
"25-02-23","18:00:01","2.5","89.7","0","0","23.23","12.5","5.3","013.1","2428","Weather Station","allpress"
"25-02-23","19:00:01","2.7","97.8","0","0","18.85","15.75","5.2","013.1","2428","Weather Station","allpress"
"25-02-23","20:00:01","1.2","98","0","0","21.05","13.25","5.2","013.0","2428","Weather Station","allpress"
"25-02-23","21:00:01","0.6","100","0","0","18.08","20","5.2","013.0","2428","Weather Station","allpress"
"25-02-23","22:00:01","1.2","100","0","0","8.98","6.5","5.2","013.0","2428","Weather Station","allpress"
"25-02-23","23:00:01","1.6","100","0","0","15.68","12.5","5.1","013.0","2428","Weather Station","allpress"
"26-02-23","00:00:01","0","100","0","0","8.5","6.5","5.1","012.9","2428","Weather Station","allpress"
"26-02-23","01:00:01","1.4","100","0","0","18.7","19","5","012.9","2428","Weather Station","allpress"
"26-02-23","02:00:01","0.6","100","0","0","13.48","8.25","4.9","012.9","2428","Weather Station","allpress"
"26-02-23","03:00:01","1.6","100","0","0","16.48","9","4.9","012.9","2428","Weather Station","allpress"
"26-02-23","04:00:01","2.5","96.7","0","0","22.98","11.5","4.9","012.8","2428","Weather Station","allpress"
"26-02-23","05:00:01","1.1","100","0","0","14.05","9","4.8","012.8","2428","Weather Station","allpress"
"26-02-23","06:00:01","0.9","98.2","0","0","14.45","7.5","4.8","012.8","2428","Weather Station","allpress"
"26-02-23","07:00:01","-0.7","100","0","14.64","7.35","5","4.8","012.8","2428","Weather Station","allpress"
"26-02-23","08:00:01","0.4","94.3","0","107.36","7.3","5.75","4.7","013.7","2428","Weather Station","allpress"
"26-02-23","09:00:01","4.6","83.7","0","478.24","13.1","7.5","4.7","013.7","2428","Weather Station","allpress"
"26-02-23","10:00:01","6.7","73.7","0","622.2","25.73","10.75","4.6","013.8","2428","Weather Station","allpress"
"26-02-23","11:00:01","7.9","61.2","0","746.64","27.25","15","4.7","013.8","2428","Weather Station","allpress"
"26-02-23","12:00:01","6","62.8","0","234.24","29.18","15.75","4.7","013.8","2428","Weather Station","allpress"
"26-02-23","13:00:01","7.2","51.7","0","319.64","32.4","15.75","4.8","013.8","2428","Weather Station","allpress"
"26-02-23","14:00:01","7.4","57.4","0","290.36","30.83","13.25","4.9","013.8","2428","Weather Station","allpress"
