field,variety,harvest_date,area_planted,area_harvested,conv_sales,baby_sales,leeks_harvested
Allans 07,Krypton,15/12/2019,5.91,5.98,173597.8,307.15,903533
Allans 07,Longton,15/12/2019,8.3,8,359003,1799.2,1409565
Allans 07,Batter,15/12/2019,2.39,2.82,75027.8,301.65,481039
Allans 12,Longton,14/04/2021,5.51,5.95,93053.4,885,683290
Allans 16/17,Lexton,23/02/2021,8.96,8.53,155786.6,2283.8,905015
Allans 16/17,Batter,23/02/2021,8.34,10.39,208314,2381.65,1383855
Allans 16/17,Chiefton,23/02/2021,6,5.4,96879,657.5,530317
Allans 18,Lexton,17/03/2020,10.64,10.64,447257.4,1685.15,1925606
Allans 18,Chiefton,17/03/2020,0.81,1.11,29223,130.2,174498
Allans 22,Krypton,31/10/2019,1.62,0.29,8801,0,40189
Allans 22,Shafton,31/10/2019,2.83,4.02,117011,0,570880
Angoods 1,Krypton,05/12/2020,7.03,6.56,184184.2,16.5,1070235
Angoods 4,Chiefton,07/01/2020,5.3,5.32,167251.8,828.25,978859
Chatteris Farms 07/08,Pluston,07/02/2021,7.72,7.23,175322.6,122.55,881243
Chatteris Farms 27A,Triton,26/04/2020,4.45,4.64,114241,113.4,733625
Chatteris Farms 27B,Pluston,20/03/2020,4.45,3.53,111232.2,5.6,708878
Garretts Decoy 3,Linkton,20/11/2019,6.03,5.69,86448,0,507166
Garretts Decoy 4,Comanche,13/11/2020,7.83,7.96,216735.6,1519.05,1451434
Garretts Decoy 6,Linkton,16/10/2020,6.72,7.25,324844.6,1580.53,1303805
Garretts Decoy 7,Shafton,19/10/2020,6.15,6.94,215361,2602.55,1311789
Garretts GS1&2,Comanche,17/09/2019,5.99,6.69,194723,0,1269636
Garretts GS1&2,Linkton,17/09/2019,7.41,6.33,152429,0,1046528
Garretts Listers 09/10,Comanche,15/10/2020,4.35,4.51,138960.2,609.4,847412
Garretts LS1,Shafton,19/09/2019,5.87,6.37,177996.2,0,934528
Grotec Big Vicarage,Krypton,31/01/2020,11.13,8.75,359768,831.8,1794130
Grotec Big Vicarage,Chiefton,31/01/2020,1.82,2.05,62016.4,82.6,390756
Grotec Long 15,Krypton,20/12/2020,11.65,9.66,328424.4,1283.45,1688688
