date,time,avg_temp,rh,rain,solar_radiation,wind_speed_gust,wind_speed_avg,soil_temp,bat_volt,leaf_wet,dew_point
14/05/2014,14:00:00,15.8,55.9,0,457,,2.7,,6904,0,7.2
14/05/2014,15:00:00,17,51.2,0,1212,,2.2,,6952,0,7
14/05/2014,16:00:00,17.3,48.9,0,862,,2.1,,6922,0,6.6
14/05/2014,17:00:00,17.5,48.9,0,611,,2,,6904,0,6.7
14/05/2014,18:00:00,16.8,51,0,232,,1.7,,6894,0,6.7
14/05/2014,19:00:00,15.1,58,0,71,,1.6,,6874,0,7.1
14/05/2014,20:00:00,12.3,74.1,0,22,,1.2,,6854,0,8
14/05/2014,21:00:00,9.3,86.7,0,0,,0.2,,6844,0,7.4
14/05/2014,22:00:00,8.1,91.7,0,0,,0,,6834,10,7
14/05/2014,23:00:00,7.3,96.2,0,0,,0,,6834,60,6.9
15/05/2014,00:00:00,6.6,98.2,0,0,,0,,6826,60,6.6
15/05/2014,01:00:00,5.5,99.6,0,0,,0,,6826,60,5.7
15/05/2014,02:00:00,4.4,100,0,0,,0,,6816,60,4.7
15/05/2014,03:00:00,4.1,100,0,0,,0,,6816,60,4.4
15/05/2014,04:00:00,3.5,100,0,0,,0,,6816,60,3.8
15/05/2014,05:00:00,3.3,100,0,25,,0,,6864,60,3.6
15/05/2014,06:00:00,6.6,96.5,0,181,,0,,7158,60,6.3
15/05/2014,07:00:00,10.4,86,0,441,,0.9,,7158,60,8.3
15/05/2014,08:00:00,13,79.5,0,865,,1,,7158,20,9.7
15/05/2014,09:00:00,15.5,68.6,0,1221,,0.8,,7148,0,9.9
15/05/2014,10:00:00,17.2,59.5,0,1513,,0.9,,7148,0,9.4
15/05/2014,11:00:00,18.5,53.5,0,1734,,0.8,,7148,0,9
15/05/2014,12:00:00,19.5,50.5,0,1877,,0.9,,7158,0,9.1
15/05/2014,13:00:00,20.2,44.8,0,1794,,0.9,,7158,0,7.9
15/05/2014,14:00:00,20.6,42,0,1747,,1.1,,7148,0,7.3
15/05/2014,15:00:00,20.3,44.2,0,1395,,0.9,,7148,0,7.8
15/05/2014,16:00:00,21.4,41.5,0,1012,,1,,7148,0,7.9
15/05/2014,17:00:00,21.2,41.5,0,825,,1.2,,7138,0,7.8
15/05/2014,18:00:00,20.4,44.4,0,267,,0.7,,7148,0,7.9
15/05/2014,19:00:00,18.2,53.7,0,74,,0.9,,6982,0,8.8
15/05/2014,20:00:00,14.7,76.2,0,0,,1.4,,6922,0,10.6
15/05/2014,21:00:00,11.7,86.9,0,0,,1.6,,6914,0,9.7
15/05/2014,22:00:00,9.4,91.3,0,0,,0.3,,6904,0,8.3
15/05/2014,23:00:00,8.6,91.5,0,0,,0,,6894,0,7.5
16/05/2014,00:00:00,8,93.9,0,0,,0.1,,6894,0,7.2
16/05/2014,01:00:00,7.3,95.7,0,0,,0,,6894,0,6.9
16/05/2014,02:00:00,8.2,94.1,0,0,,0.1,,6884,40,7.6
16/05/2014,03:00:00,9.1,91.8,0,0,,0.1,,6894,50,8
16/05/2014,04:00:00,9,92.8,0,0,,0.2,,6894,0,8.1
16/05/2014,05:00:00,8,95.1,0,29,,0,,6942,0,7.4
16/05/2014,06:00:00,9.8,88.5,0,169,,0.4,,7158,0,8.2
16/05/2014,07:00:00,13.1,76.6,0,493,,1.4,,7158,0,9.3
16/05/2014,08:00:00,16.3,66.9,0,849,,2,,7158,0,10.3
16/05/2014,09:00:00,18.2,64,0,963,,2,,7158,0,11.5
16/05/2014,10:00:00,20.3,56.4,0,1313,,1.5,,7158,0,11.4
16/05/2014,11:00:00,20.6,53.8,0,1172,,0.9,,7148,0,11
16/05/2014,12:00:00,22.4,49.4,0,1640,,1,,7148,0,11.4
16/05/2014,13:00:00,21.4,52.9,0,998,,1,,7148,0,11.5
16/05/2014,14:00:00,20.1,58.3,0,397,,0.8,,7060,0,11.8
16/05/2014,15:00:00,20.2,59.7,0.4,477,,1,,7148,5,12.3
16/05/2014,16:00:00,20.7,59.7,3,559,,1.5,,7158,60,12.7
16/05/2014,17:00:00,20.9,58,0,522,,1.5,,7118,60,12.5
16/05/2014,18:00:00,20.4,62.5,0,254,,1.4,,7148,40,13.2
16/05/2014,19:00:00,18.7,68.6,0,100,,0.2,,7050,0,13
16/05/2014,20:00:00,16,80.6,0,16,,0.1,,6904,0,12.9
16/05/2014,21:00:00,13.8,90.5,0,0,,0,,6894,0,12.5
16/05/2014,22:00:00,12.3,93.5,0,0,,0.2,,6884,60,11.5
16/05/2014,23:00:00,11.4,89.4,0,0,,0.6,,6874,60,9.9
17/05/2014,00:00:00,10.6,90.4,0,0,,0.1,,6874,60,9.3
17/05/2014,01:00:00,11.1,88.1,0,0,,0.3,,6874,60,9.4
17/05/2014,02:00:00,10.7,85.6,0,0,,0.4,,6874,60,8.5
17/05/2014,03:00:00,10.1,88.3,0,0,,0.1,,6874,60,8.5
17/05/2014,04:00:00,10.9,91.7,0,0,,0,,6864,60,9.8
17/05/2014,05:00:00,11.5,91.4,0,0,,0.2,,6884,60,10.3
17/05/2014,06:00:00,12.6,93.8,0,94,,0.8,,6942,60,11.9
17/05/2014,07:00:00,14.6,86.8,0,245,,0.8,,7158,10,12.6
17/05/2014,08:00:00,16.1,74.5,0,419,,0.9,,7158,0,11.7
17/05/2014,09:00:00,17.3,66.3,0,622,,0.6,,7158,0,11.2
17/05/2014,10:00:00,19.8,56.9,0,1357,,0.7,,7148,0,11.2
17/05/2014,11:00:00,21.3,55.4,0,1647,,1,,7148,0,12.1
17/05/2014,12:00:00,22.6,52.1,0,1743,,1.3,,7148,0,12.4
17/05/2014,13:00:00,22.6,51.9,0,1266,,1.8,,7158,0,12.4
17/05/2014,14:00:00,24.1,48,0,1703,,2.2,,7148,0,12.5
17/05/2014,15:00:00,22.8,52.1,0,1030,,1.9,,7158,0,12.6
17/05/2014,16:00:00,23.2,50,0,671,,2.3,,7148,0,12.3
17/05/2014,17:00:00,23,49.5,0,698,,2.4,,7080,0,12
17/05/2014,18:00:00,22.7,50.8,0,272,,2.4,,7138,0,12.1
17/05/2014,19:00:00,20.8,57.1,0,69,,1.3,,7020,0,12.2
17/05/2014,20:00:00,18.2,67.5,0,0,,0,,6884,0,12.3
17/05/2014,21:00:00,15,84,0,0,,0,,6874,15,12.5
17/05/2014,22:00:00,15,88.9,0,0,,1.3,,6874,60,13.3
17/05/2014,23:00:00,12.8,92.9,0,0,,0.6,,6874,60,11.9
18/05/2014,00:00:00,11.5,96.9,0,0,,0,,6864,60,11.2
18/05/2014,01:00:00,11.9,96,0,0,,0.1,,6864,60,11.5
18/05/2014,02:00:00,10.9,97.8,0,0,,0.1,,6854,60,10.8
18/05/2014,03:00:00,10.2,99.4,0,0,,0,,6864,60,10.3
18/05/2014,04:00:00,8.9,99.5,0,0,,0,,6864,60,9.1
18/05/2014,05:00:00,8.7,99.9,0,33,,0,,6914,60,9
18/05/2014,06:00:00,11.4,96.3,0,127,,0.2,,7060,60,11
18/05/2014,07:00:00,14,92,0,189,,1,,7158,60,12.9
18/05/2014,08:00:00,17.2,81.1,0,669,,1.9,,7158,35,14.1
18/05/2014,09:00:00,19.8,72,0,1047,,2,,7158,0,14.7
18/05/2014,10:00:00,21.8,60.9,0,1560,,2.8,,7158,0,14
18/05/2014,11:00:00,21.8,59.4,0,1400,,3.2,,7148,0,13.7
18/05/2014,12:00:00,22.9,52.2,0,1814,,3.6,,7148,0,12.7
18/05/2014,13:00:00,23.4,49.2,0,1756,,3.6,,7148,0,12.2
18/05/2014,14:00:00,23.5,44,0,1732,,3.5,,7148,0,10.7
18/05/2014,15:00:00,23.1,49.1,0,1509,,3.8,,7148,0,11.9
18/05/2014,16:00:00,22.9,52.4,0,813,,4.4,,7148,0,12.8
18/05/2014,17:00:00,22,51,0,646,,4.7,,7138,0,11.5
18/05/2014,18:00:00,20.2,51.5,0,218,,4.8,,7138,0,10
18/05/2014,19:00:00,17.9,57.8,0,89,,3.8,,7148,0,9.6
18/05/2014,20:00:00,15.2,71.4,0,16,,2.3,,6884,0,10.3
18/05/2014,21:00:00,12.7,82.6,0,0,,1.3,,6864,0,10
18/05/2014,22:00:00,12.1,85.4,0,0,,1.6,,6854,50,9.9
18/05/2014,23:00:00,11,88.9,0,0,,1,,6854,60,9.5
19/05/2014,00:00:00,11,88.1,0,0,,1,,6854,60,9.3
19/05/2014,01:00:00,9.5,93.2,0,0,,0.2,,6854,60,8.7
19/05/2014,02:00:00,9.5,94,0,0,,0.7,,6854,60,8.8
19/05/2014,03:00:00,9.5,93.9,0,0,,0.5,,6854,60,8.9
19/05/2014,04:00:00,9.4,96,0,0,,0.8,,6844,60,9.1
19/05/2014,05:00:00,10.3,94.2,0,42,,0.5,,6914,60,9.6
19/05/2014,06:00:00,12.6,87.6,0,203,,1.3,,7158,60,10.8
19/05/2014,07:00:00,15.8,78.7,0,493,,1.7,,7148,60,12.3
19/05/2014,08:00:00,20.1,63.5,0,878,,2.6,,7158,10,13.2
19/05/2014,09:00:00,22.6,53.2,0,1235,,3.8,,7148,0,12.8
19/05/2014,10:00:00,23.5,50,0,1520,,3.9,,7148,0,12.5
19/05/2014,11:00:00,24.2,46.7,0,1749,,5.1,,7148,0,12.1
19/05/2014,12:00:00,25,44.4,0,1870,,4.9,,7148,0,12.1
19/05/2014,13:00:00,24.9,41.5,0,1649,,5,,7158,0,11
19/05/2014,14:00:00,24.2,41.5,0,1393,,5,,7148,0,10.4
19/05/2014,15:00:00,24.1,42.5,0,1429,,5,,7148,0,10.6
19/05/2014,16:00:00,24.3,41.9,0,813,,5.4,,7098,0,10.7
19/05/2014,17:00:00,22.6,45.6,0,390,,4.6,,7138,0,10.4
19/05/2014,18:00:00,22.4,46.5,0,194,,4.7,,7128,0,10.5
19/05/2014,19:00:00,20.4,53.8,0,65,,4.4,,7138,0,10.8
19/05/2014,20:00:00,17.7,64.3,0,18,,3,,6884,0,11
19/05/2014,21:00:00,15.6,74.7,0,0,,2.5,,6864,0,11.3
19/05/2014,22:00:00,14.9,77.9,0,0,,3.1,,6854,0,11.3
19/05/2014,23:00:00,14.7,80.2,0,0,,2.8,,6854,0,11.5
20/05/2014,00:00:00,14,84,0,0,,2.6,,6854,0,11.5
20/05/2014,01:00:00,12.9,88.9,0,0,,1.3,,6854,10,11.3
20/05/2014,02:00:00,12.5,91,0,0,,1.2,,6844,60,11.3
20/05/2014,03:00:00,12.2,92.8,0,0,,1.3,,6854,60,11.3
20/05/2014,04:00:00,11.1,95.6,0,0,,0.8,,6844,60,10.6
20/05/2014,05:00:00,11.8,93.2,0,60,,0.7,,6894,60,11
20/05/2014,06:00:00,14.5,83.7,0,272,,2.2,,7158,40,12
20/05/2014,07:00:00,16.4,78.6,0,435,,1.9,,7158,0,12.8
20/05/2014,08:00:00,17.7,77.7,0,591,,2.1,,7148,0,13.9
20/05/2014,09:00:00,20.1,62.7,0,963,,3.8,,7158,0,12.9
20/05/2014,10:00:00,21.7,59,0,1431,,3.5,,7148,0,13.5
20/05/2014,11:00:00,22.7,56.6,0,1622,,3.1,,7148,0,13.8
20/05/2014,12:00:00,21.9,58.2,0,1125,,3.9,,7148,0,13.5
20/05/2014,13:00:00,22.2,57,0,1357,,3.6,,7158,0,13.4
20/05/2014,14:00:00,22.1,55,0,1203,,3.7,,7148,0,12.7
20/05/2014,15:00:00,21,54.8,0,666,,3.5,,7030,0,11.7
